"","N_SQ_AD","college"
"1415",750065322,67
"1416",750152778,67
"1417",750143827,4
"1418",750065539,67
"1419",750157461,67
"1420",750059370,457
"1421",750065562,67
"1422",750065264,4
"1423",750065542,67
"1424",750157457,67
"1425",750157463,67
"1426",750061435,338
"1427",750065256,4
"1428",750065314,67
"1429",750059435,457
"1430",750065084,457
"1431",750065531,67
"1432",750065093,457
"1433",750065263,4
"1434",750065075,457
"1435",750058796,457
"1436",750062394,457
"1437",750061868,457
"1438",750059905,457
"1439",750177048,67
"1440",750063373,4
"1441",750063368,4
"1442",750063188,4
"1443",750064477,457
"1444",750147683,67
"1445",750065297,67
"1446",750065086,457
"1447",750065334,67
"1448",750065582,4
"1449",750058787,457
"1450",750065155,4
"1451",750065188,67
"1452",750061759,67
"1453",750064483,457
"1454",750153256,67
"1455",750065570,4
"1456",750065177,4
"1457",750061754,67
"1458",750061748,67
"1459",750061760,67
"1460",750152733,67
"1461",750065285,67
"1462",750152670,67
"1463",750152746,67
"1464",750065085,457
"1465",750065074,457
"1466",750157460,67
"1467",750142337,67
"1468",750061762,67
"1469",750157092,67
"1470",750065447,67
"1471",750065546,67
"1472",750143833,4
"1473",750058793,457
"1474",750160527,67
"1475",750166829,67
"1476",750058614,329
"1477",750064476,457
"1478",750065317,67
"1479",750058994,67
"1480",750064475,457
"1481",750065466,67
"1482",750065303,67
"1483",750065339,67
"1484",750065327,67
"1485",750166833,67
"1486",750065349,67
"1487",750065560,67
"1488",750065059,329
"1489",750065087,457
"1490",750065097,457
"1491",750065118,457
