"","X","libelle.complet","index","libelle","numero","rue","arrondissement","N_SQ_AD"
"154",155,"ECOLE MATERNELLE 3 PLACE DU CARDINAL AMETTE - PARIS 15",155,"ECOLE MATERNELLE","3","PL DU CARDINAL AMETTE",15,750108482
"155",156,"ECOLE ÉLÉMENTAIRE 3 PLACE DU CARDINAL AMETTE - PARIS 15",156,"ECOLE ÉLÉMENTAIRE","3","PL DU CARDINAL AMETTE",15,750108482
"156",157,"ECOLE MATERNELLE 5 RUE GUSTAVE ZEDE - PARIS 16",157,"ECOLE MATERNELLE","5","RUE GUSTAVE ZEDE",16,750123575
"157",158,"ECOLE ÉLÉMENTAIRE 10 RUE DES BAUCHES - PARIS 16",158,"ECOLE ÉLÉMENTAIRE","10","RUE DES BAUCHES",16,750119566
"158",159,"ECOLE MATERNELLE 58 RUE ERLANGER - PARIS 16",159,"ECOLE MATERNELLE","58","RUE ERLANGER",16,750122000
"159",160,"ECOLE ÉLÉMENTAIRE 51 RUE MICHEL ANGE - PARIS 16",160,"ECOLE ÉLÉMENTAIRE","51","RUE MICHEL ANGE",16,750125959
"160",161,"ECOLE ÉLÉMENTAIRE 54 RUE BOISSIERE - PARIS 16",161,"ECOLE ÉLÉMENTAIRE","54","RUE BOISSIERE",16,750120105
"161",162,"COLLÈGE CLAUDE BERNARD 1 AVENUE DU PARC DES PRINCES - PARIS 16",162,"COLLÈGE CLAUDE BERNARD","1","AV DU PARC DES PRINCES",16,750126953
"162",163,"ECOLE MATERNELLE 28 RUE BROCHANT - PARIS 17",163,"ECOLE MATERNELLE","28","RUE BROCHANT",17,750132106
"163",164,"ECOLE ÉLÉMENTAIRE 105 RUE LEMERCIER - PARIS 17",164,"ECOLE ÉLÉMENTAIRE","105","RUE LEMERCIER",17,750136362
"164",165,"COLLÈGE SAUSSURE 34 RUE MARIE-GEORGES PICQUART - PARIS 17",165,"COLLÈGE SAUSSURE","34","RUE MARIE-GEORGES PICQUART",17,750175211
"165",166,"ECOLE MATERNELLE 56 RUE BAYEN - PARIS 17",166,"ECOLE MATERNELLE","56","RUE BAYEN",17,750131346
"166",167,"ECOLE ÉLÉMENTAIRE 221 BOULEVARD PEREIRE - PARIS 17",167,"ECOLE ÉLÉMENTAIRE","221","BD PEREIRE",17,750137535
"167",168,"ECOLE MATERNELLE 8 RUE DES TAPISSERIES - PARIS 17",168,"ECOLE MATERNELLE","8","RUE DES TAPISSERIES",17,750139345
"168",169,"ECOLE ÉLÉMENTAIRE 101 RUE DE SAUSSURE - PARIS 17",169,"ECOLE ÉLÉMENTAIRE","101","RUE DE SAUSSURE",17,750139152
"169",170,"ECOLE MATERNELLE 3 RUE GUSTAVE DORE - PARIS 17",170,"ECOLE MATERNELLE","3","RUE GUSTAVE DORE",17,750134921
"170",171,"ECOLE ÉLÉMENTAIRE 112 BOULEVARD BERTHIER - PARIS 17",171,"ECOLE ÉLÉMENTAIRE","112","BD BERTHIER",17,750131477
"171",172,"ECOLE MATERNELLE 221 BOULEVARD PEREIRE - PARIS 17",172,"ECOLE MATERNELLE","221","BD PEREIRE",17,750137535
"172",173,"ECOLE ÉLÉMENTAIRE 16 RUE LAUGIER - PARIS 17",173,"ECOLE ÉLÉMENTAIRE","16","RUE LAUGIER",17,750135995
"173",174,"COLLÈGE PIERRE DE RONSARD 140 AVENUE DE WAGRAM - PARIS 17",174,"COLLÈGE PIERRE DE RONSARD","140","AV DE WAGRAM",17,750140317
"174",175,"ECOLE MATERNELLE 31 RUE DES RENAUDES - PARIS 17",175,"ECOLE MATERNELLE","31","RUE DES RENAUDES",17,750133607
"175",176,"ECOLE MATERNELLE 48 RUE DE SAUSSURE - PARIS 17",176,"ECOLE MATERNELLE","48","RUE DE SAUSSURE",17,750139209
"176",177,"ECOLE ÉLÉMENTAIRE 49 RUE LEGENDRE - PARIS 17",177,"ECOLE ÉLÉMENTAIRE","49","RUE LEGENDRE",17,750136153
"177",178,"ECOLE MATERNELLE 18 RUE AMPERE - PARIS 17",178,"ECOLE MATERNELLE","18","RUE AMPERE",17,750130910
"178",179,"ECOLE ÉLÉMENTAIRE 18 RUE AMPERE - PARIS 17",179,"ECOLE ÉLÉMENTAIRE","18","RUE AMPERE",17,750130910
"179",180,"ECOLE MATERNELLE 33 RUE MIOLLIS - PARIS 15",180,"ECOLE MATERNELLE","33","RUE MIOLLIS",15,750115153
"180",181,"ECOLE MATERNELLE 13 RUE CEPRE - PARIS 15",181,"ECOLE MATERNELLE","13","RUE CEPRE",15,750108709
"181",182,"ECOLE ÉLÉMENTAIRE 33 BIS RUE MIOLLIS - PARIS 15",182,"ECOLE ÉLÉMENTAIRE","33BIS","RUE MIOLLIS",15,750115153
"182",183,"ECOLE MATERNELLE 18 RUE SERGE PROKOFIEV - PARIS 16",183,"ECOLE MATERNELLE","18","RUE SERGE PROKOFIEV",16,750128959
"183",184,"ECOLE MATERNELLE 23 RUE JACQUIER - PARIS 14",184,"ECOLE MATERNELLE","23","RUE JACQUIER",14,750102192
"184",185,"ECOLE ÉLÉMENTAIRE 28 RUE PIERRE LAROUSSE - PARIS 14",185,"ECOLE ÉLÉMENTAIRE","28","RUE PIERRE LAROUSSE",14,750104435
"185",186,"COLLÈGE FRANCOIS VILLON 10/16 AVENUE MARC SANGNIER - PARIS 14",186,"COLLÈGE FRANCOIS VILLON","10/16","AV MARC SANGNIER",14,750103162
"186",187,"ECOLE ÉLÉMENTAIRE 3 BOULEVARD DES FRERES VOISIN - PARIS 15",187,"ECOLE ÉLÉMENTAIRE","3","BD DES FRERES VOISIN",15,750112114
"187",188,"COLLÈGE GEORGES DUHAMEL 13 RUE DES VOLONTAIRES - PARIS 15",188,"COLLÈGE GEORGES DUHAMEL","13","RUE DES VOLONTAIRES",15,750118623
"188",189,"ECOLE MATERNELLE 11B AVENUE PARMENTIER - PARIS 11",189,"ECOLE MATERNELLE","11B","AV PARMENTIER",11,750054734
"189",190,"ECOLE ÉLÉMENTAIRE 11B AVENUE PARMENTIER - PARIS 11",190,"ECOLE ÉLÉMENTAIRE","11B","AV PARMENTIER",11,750054734
"190",191,"COLLÈGE ALAIN FOURNIER 87 RUE LEON FROT - PARIS 11",191,"COLLÈGE ALAIN FOURNIER","87","RUE LEON FROT",11,750053564
"191",192,"ECOLE MATERNELLE 144 RUE DE LA ROQUETTE - PARIS 11",192,"ECOLE MATERNELLE","144","RUE DE LA ROQUETTE",11,750056040
"192",193,"ECOLE ÉLÉMENTAIRE A 22 RUE SAINT MAUR - PARIS 11",193,"ECOLE ÉLÉMENTAIRE A","22","RUE SAINT MAUR",11,750056405
"193",194,"ECOLE MATERNELLE 34 RUE SARRETTE - PARIS 14",194,"ECOLE MATERNELLE","34","RUE SARRETTE",14,750105752
"194",195,"ECOLE ÉLÉMENTAIRE 5 RUE PRISSE D'AVENNES - PARIS 14",195,"ECOLE ÉLÉMENTAIRE","5","RUE PRISSE D'AVENNES",14,750104777
"195",196,"COLLÈGE ALPHONSE DAUDET 93 RUE D'ALESIA - PARIS 14",196,"COLLÈGE ALPHONSE DAUDET","93","RUE D'ALESIA",14,750098423
"196",197,"ECOLE MATERNELLE 55 RUE SARRETTE - PARIS 14",197,"ECOLE MATERNELLE","55","RUE SARRETTE",14,750105746
