"","Code_voie","Type.de.voie","Nom.de.la.voie","N..D�but.exclu.sauf.0.","Bis.Ter.Quat.","N..fin.inclus","Bis.Ter.Quat..1","Pair..P..Impair..I.","Ecole"
"3458","2632","PORT","DEBILLY",0,"",9999,"","p","Ecole Votre adresse n'est pas rattachée à un secteur scolaire. Nous ne pouvons pas vous renseigner sur les établissements scolaires dont vous dépendez. Vous pouvez signaler cette anomalie en cliquant sur le lien ""Contact""."
"3459","2635","RUE","DEBROUSSE",0,"",9999,"","i","Ecole maternelle 56 RUE BOISSIERE - PARIS 16"
"3460","2635","RUE","DEBROUSSE",0,"",9999,"","p","Ecole maternelle 56 RUE BOISSIERE - PARIS 16"
"3461","2640","RUE","DECAMPS",0,"",9999,"","i","Ecole élémentaire 4 RUE DECAMPS - PARIS 16"
"3462","2640","RUE","DECAMPS",0,"",9999,"","p","Ecole élémentaire 4 RUE DECAMPS - PARIS 16"
"3463","2644","RUE DES","DECHARGEURS",0,"",9999,"","i","Ecole maternelle 6 RUE ST GERMAIN L'AUXERROIS - PARIS 01"
"3464","2644","RUE DES","DECHARGEURS",0,"",9999,"","p","Ecole maternelle 6 RUE ST GERMAIN L'AUXERROIS - PARIS 01"
"3465","2647","RUE","DECRES",0,"",9999,"","i","Ecole maternelle 190 RUE D'ALESIA - PARIS 14"
"3466","2647","RUE","DECRES",0,"",9999,"","p","Ecole maternelle 190 RUE D'ALESIA - PARIS 14"
"3467","2650","IMPASSE DE LA","DEFENSE",0,"",9999,"","i","Ecole élémentaire 14-16 RUE FOREST - PARIS 18"
"3468","2650","IMPASSE DE LA","DEFENSE",0,"",9999,"","p","Ecole élémentaire 14-16 RUE FOREST - PARIS 18"
"3469","2652","RUE","DEGAS",0,"",9999,"","i","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"3470","2652","RUE","DEGAS",0,"",9999,"","i","Ecole maternelle 18 RUE GROS - PARIS 16"
"3471","2652","RUE","DEGAS",0,"",9999,"","p","Ecole maternelle 9 RUE DE BOULAINVILLIERS - PARIS 16"
"3472","2652","RUE","DEGAS",0,"",9999,"","p","Ecole maternelle 18 RUE GROS - PARIS 16"
"3473","2654","RUE DES","DEGRES",0,"",9999,"","i","Ecole élémentaire 5 RUE BEAUREGARD - PARIS 02"
"3474","2654","RUE DES","DEGRES",0,"",9999,"","p","Ecole élémentaire 5 RUE BEAUREGARD - PARIS 02"
"3475","2656","RUE","DEGUERRY",0,"",9999,"","i","Ecole maternelle 39 RUE DES TROIS BORNES - PARIS 11"
"3476","2656","RUE","DEGUERRY",0,"",9999,"","p","Ecole maternelle 39 RUE DES TROIS BORNES - PARIS 11"
"3477","2660","RUE","DEJEAN",0,"",9999,"","i","Ecole maternelle 18 RUE RICHOMME - PARIS 18"
"3478","2660","RUE","DEJEAN",0,"",9999,"","p","Ecole maternelle 18 RUE RICHOMME - PARIS 18"
"3479","2663","RUE","DELAITRE",0,"",9999,"","i","Ecole maternelle 10 RUE DE MENILMONTANT - PARIS 20"
"3480","2663","RUE","DELAITRE",0,"",9999,"","p","Ecole maternelle 10 RUE DE MENILMONTANT - PARIS 20"
"3481","2667","RUE","DELAMBRE",0,"",9999,"","i","Ecole maternelle 24 RUE DELAMBRE - PARIS 14"
